#SampleID	State	Year	SiteAlias	SampleID2	newSampleID	Under	Collected-Date	WaterbodyName	Latitude	Longitude	COMID	US-L4CODE	US-L3CODE	DIST-Cat	CatAreaSqKm	WsAreaSqKm	BFICat	ElevCat	Na2OCat	Al2O3Cat	CaOCat	Fe2O3Cat	SiO2Cat	MgOCat	SCat	P2O5Cat	K2OCat	NCat	HydrlCondCat	CompStrgthCat	ICI-v2-1	PctImp2019Cat	AgKffactCat	KffactCat	PctGlacTilCrsCat	SN-2008Cat	NO3-2008Cat	InorgNWetDep-2008Cat	NH4-2008Cat	PctUrban2019Cat	PctForest2019Cat	PctAg2019Cat	PctWetland2019Cat	PctHay2019Cat	PctCrop2019Cat	NsurpCat	NANICat	PrecipCat	TmaxCat	TmeanCat	TminCat	MSST-Avg	RockNCat	RunoffCat	ClayCat	SandCat	WtDepCat	OmCat	PermCat	RckDepCat	sw-fluxCat	WaterInputCat	wdrw-LDCat	WetIndexCat	Temperature-DegC	SpecConductivity-msCm	DO	Tot-Alk	NO3NO2	Chloride	Chla-area	Color-app	TKN	TN	TP	Turbidity	TDS	Chla-conc	pH
PrimeRef-0363	MA	2025	PrimeRef-0363	PrimeRef-0363	PrimeRef_0363-2025	PrimeRef_0363	9/4/2025	Broad Brook	42.73553196	-73.20485698	22290363	58b	58	Ref	26.8353	26.8353	48	548.7819	1.4016	8.978	6.1156	3.7328	61.6548	3.9379	0.0189	0.1008	1.6462	0.0125	0.0573	190.5806	0.796806972	0.67	0.0038	0.3456	76.52	655.9561	12.7244	4.744	2.4169	1.12	92.89	1.05	2.21	1.05	0	30817.94987	25825.24545	1280.415115	11.83959806	6.557064674	-11.6264413	16.56443705	201.0717	714	7.1323	37.0689	120.9892	1.8001	6.0612	122.9154	410926	0.000015	4.2105	708.1333	15.2	197	10.11	95.6	0.16	4.9	0.0077	5	0.15	0.15	0.005	0.23	60	1.57	8.02
PrimeRef-0363-QC	MA	2025	PrimeRef-0363	PrimeRef-0363-QC	PrimeRef_0363_QC-2025	PrimeRef_0363_QC	9/4/2025	Broad Brook	42.73553196	-73.20485698	22290363	58b	58	Ref	26.8353	26.8353	48	548.7819	1.4016	8.978	6.1156	3.7328	61.6548	3.9379	0.0189	0.1008	1.6462	0.0125	0.0573	190.5806	0.796806972	0.67	0.0038	0.3456	76.52	655.9561	12.7244	4.744	2.4169	1.12	92.89	1.05	2.21	1.05	0	30817.94987	25825.24545	1280.415115	11.83959806	6.557064674	-11.6264413	16.56443705	201.0717	714	7.1323	37.0689	120.9892	1.8001	6.0612	122.9154	410926	0.000015	4.2105	708.1333	0	0	0	89.7	0.16	4.8	0.0072	2.5	0.15	0.15	0.005	0.1	72	1.46	7.98
PrimeRef-0379	MA	2025	PrimeRef-0379	PrimeRef-0379	PrimeRef_0379-2025	PrimeRef_0379	9/4/2025	Hemlock Brook	42.687532	-73.232741	22290379	58a	58	Ref	13.6485	13.6485	47.937	496.6911	0.9288	12.0913	6.3044	5.8601	52.7428	2.48	0.0505	0.122	2.7273	0.0463	0.0639	88.9848	0.7546041	0.49	0.0137	0.3	0	656.2181	12.6567	4.7364	2.4266	0.71	92.34	3.5	0.14	3.5	0	15497.75337	12550.96509	1247.912473	12.19243086	6.940870435	-11.58081765	16.65197515	193.2484	714	13.8914	24.3008	152.7297	0.888	5.2694	93.5733	410926	0.0000242	15.1123	647.8646	14.8	226	9.69	53.4	0.21	26	0.0036	5	0.15	0.15	0.031	1.6	78	0.72	7.76
PrimeRef-4614	MA	2025	PrimeRef-4614	PrimeRef-4614	PrimeRef_4614-2025	PrimeRef_4614	9/4/2025	Dunbar Brook	42.7045149	-72.95266602	10294614	58c	58	Ref	1.6128	28.0449	45.4699	458.8494	1.5712	14.0376	2.8546	7.0835	60.5349	2.8982	0.0475	0.1417	2.3252	0.0356	0.2134	95.2279	0.879588089	0.33	0	0.23	100	701.362	13.4503	5.0403	2.5879	0.89	98.38	0	0.17	0	0	1773.82997	1380.940522	1319.350257	12.0757667	6.585263772	-11.93046861	16.87525082	183.1385	862	5.8043	39.3933	149.7619	1.2599	8.7785	97.5848	403818	0	0	671.5843	14.6	59	9.9	11	0.2	6	0.0019	5	0.15	0.15	0.005	0.48	14	0.378	7.24
PrimeStrs-3779	MA	2025	PrimeStrs-3779	PrimeStrs-3779	PrimeStrs_3779-2025	PrimeStrs_3779	9/5/2025	Mill River	42.19325396	-70.95954158	5863779	59c	59	Strs	4.3632	16.2747	51.8828	38.4859	3.5389	15.0795	2.9675	3.7526	67.1391	1.3424	0.0366	0.1416	3.8616	0.0041	0.0003	180.3828	0.500532895	41.09	0.0005	0.1892	47.59	572.6695	10.1586	3.7918	1.9335	64.7	10.73	0.04	10.97	0.04	0	33123.55102	37652.03789	1263.62222	15.45458408	10.26888966	-7.015841569	21.12549067	7.1684	509	4.9828	55.6172	99.9526	1.4266	14.0508	138.654	2004387	0	0	882.3084	18.4	503	8.68	31.7	0.41	98	0.0011	56	0.723	1.1	0.053	4.2	270	0.232	7.23
PrimeRef-9677	MA	2025	PrimeRef-9677	PrimeRef-9677	PrimeRef_9677-2025	PrimeRef_9677	9/5/2025	Rattlesnake Brook	41.77254787	-71.08494839	6129677	59e	59	Ref	11.1537	11.1537	53.6287	48.1906	3.536	14.2744	1.39	1.9916	72.2866	0.4514	0.0303	0.1	4.4854	0.0036	0.0003	188.4991	0.826835702	1.2	0.0014	0.2143	18.72	603.1438	10.7152	4.0054	2.0472	1.89	76.72	0.38	17.91	0.38	0	15970.28235	14092.04343	1242.832602	15.54421831	10.69297107	-6.430864274	19.92218865	14.8901	668.6713	5.7311	50.1691	84.8547	0.8202	10.0189	140.4699	1206994.013	0.0000352	4.4865	828.5827	18.9	44.1	9.03	4.58	0.05	4.8	0.0052	66	0.523	0.52	0.021	0.77	41	1.05	6.84
PrimeRef-9677-QC	MA	2025	PrimeRef-9677	PrimeRef-9677-QC	PrimeRef_9677_QC-2025	PrimeRef_9677_QC	9/5/2025	Rattlesnake Brook	41.77254787	-71.08494839	6129677	59e	59	Ref	11.1537	11.1537	53.6287	48.1906	3.536	14.2744	1.39	1.9916	72.2866	0.4514	0.0303	0.1	4.4854	0.0036	0.0003	188.4991	0.826835702	1.2	0.0014	0.2143	18.72	603.1438	10.7152	4.0054	2.0472	1.89	76.72	0.38	17.91	0.38	0	15970.28235	14092.04343	1242.832602	15.54421831	10.69297107	-6.430864274	19.92218865	14.8901	668.6713	5.7311	50.1691	84.8547	0.8202	10.0189	140.4699	1206994.013	0.0000352	4.4865	828.5827	0	0	0	3.66	0.05	4.8	0.0039	76	0.486	0.49	0.019	0.73	42	0.783	6.83
OverStrs-8635	MA	2025	OverStrs-8635	OverStrs-8635	OverStrs_8635-2025	OverStrs_8635	9/5/2025	Segreganset River	41.83523239	-71.13593516	6128635	59e	59	Strs	1.1619	28.116	49.1898	13.3207	1.0791	8.7641	1.4054	2.9556	64.0112	1.3013	0.2169	0.1263	1.6136	0.1243	0.1677	78.6861	0.604854108	7.44	0.021	0.215	86.13	580.4352	10.3757	3.8812	1.9859	15.42	37.26	5.27	32.84	5.27	0	2544.223472	2479.983657	1239.324453	15.68970168	10.34425358	-7.176607189	20.55161443	8.2841	668	4.4726	57.6372	104.1782	0.8757	18.2899	142.5469	1206491	0.0000721	88.0936	893.1015	18.8	244	8.45	26.6	1.3	37	0.003	23	1.08	2.4	0.068	0.43	130	0.606	6.77
OverStrs-9519	MA	2025	OverStrs-9519	OverStrs-9519	OverStrs_9519-2025	OverStrs_9519	9/6/2025	Wading River	41.9471012	-71.1769499	6129519	59e	59	Strs	1.08	113.0418	55.5467	24.5113	1.0791	8.7641	1.4054	2.9556	64.0112	1.3013	0.2169	0.1263	1.6136	0.1243	0.1677	78.6861	0.759749949	5.03	0.0066	0.1859	0	587.9281	10.5959	3.9658	2.0309	9.25	55.5	0.17	31.25	0.17	0	2729.520005	2748.79646	1265.045855	15.75768666	10.05206074	-7.598916572	20.51164185	8.2623	668	2.35	72.0147	136.77	0.96	32.24	146.05	1206491	0	0	908.8158	20.3	367	8.09	35.9	0.05	69	0.0046	23	0.607	0.61	0.012	0.81	190	0.94	7.09
PrimeStrs-6989	MA	2025	PrimeStrs-6989	PrimeStrs-6989	PrimeStrs_6989-2025	PrimeStrs_6989	9/6/2025	Massapoag Brook	42.120516	-71.164263	5866989	59c	59	Strs	3.7656	14.2785	55.3786	71.7904	3.5146	14.8763	2.7265	3.4838	68.1092	1.2353	0.0349	0.1326	3.8684	0.0041	0.0008	185.4273	0.651496901	13.62	0.0016	0.1912	20.36	578.194	10.4243	3.902	1.9986	27.2	36.64	0.67	16.85	0.67	0	17380.21559	19088.30806	1271.296228	15.46055785	9.817839135	-7.563025753	19.06455343	7.3063	509	3.6644	64.2214	117.1195	0.992	23.4712	143.5753	2004387	0.000035	17.8844	819.907	21.6	223	8.4	17.2	0.05	39	0.0032	13	0.472	0.47	0.014	0.77	140	0.649	7.32
PrimeStrs-4305	MA	2025	PrimeStrs-4305	PrimeStrs-4305	PrimeStrs_4305-2025	PrimeStrs_4305	9/6/2025	Cady Brook	42.144748	-71.993801	6144305	59c	59	Strs	13.0239	13.0239	53.7435	258.7962	2.278	14.2068	4.367	6.6435	60.4385	2.6569	0.04	0.15	1.9785	0.0402	0.2989	110.4507	0.512982782	9.2	0.0279	0.2197	99.79	680.0235	12.6397	4.7693	2.4744	17.33	47.13	7.76	11.53	7.55	0.21	29681.96862	28952.57904	1248.535592	13.90883404	8.732200865	-9.438069279	18.43074989	89.8852	689	6.44	45.6692	73.97	0.79	5.36	139.3	393420.4231	0.000254381	373.8856	788.1667	20.4	637	8.22	30.8	0.15	140	0.0045	14	0.453	0.6	0.01	0.54	300	0.914	6.91
PrimeStrs-8803	MA	2025	PrimeStrs-8803	PrimeStrs-8803	PrimeStrs_8803-2025	PrimeStrs_8803	9/7/2025	West Branch Westfield River	42.332167	-73.074457	6098803	58c	58	Strs	4.5603	60.0759	43.09	430.713	2.4087	13.8391	2.4396	5.1666	67.328	1.7877	0.0311	0.1301	2.678	0.0089	0.1643	133.2324	0.806636814	0.59	0.0036	0.23	100	751.8628	14.1249	5.3243	2.758	0.99	89.38	1.22	4.15	1.22	0	5361.469319	4292.043912	1289.674023	12.90215144	7.110907551	-11.29407919	18.66670073	135.5418	711	5.8515	39.7557	143.5773	1.3763	8.2272	101.3756	561412	0.0000023	4.4927	721.4969	14.6	9.51	143	42.5	0.05	12	0.0027	18	0.354	0.35	0.005	0.44	78	0.544	7.58
