#SampleID	State	Year	SiteAlias	SampleID2	Newname	Under	Waterbody
PrimeRef-0363	MA	2025	PrimeRef-0363	PrimeRef-0363	PrimeRef_0363-2025	PrimeRef_0363	Broad Brook
PrimeRef-0363-QC	MA	2025	PrimeRef-0363	PrimeRef-0363-QC	PrimeRef_0363_QC-2025	PrimeRef_0363_QC	Broad Brook
PrimeRef-0379	MA	2025	PrimeRef-0379	PrimeRef-0379	PrimeRef_0379-2025	PrimeRef_0379	Hemlock Brook
PrimeRef-4614	MA	2025	PrimeRef-4614	PrimeRef-4614	PrimeRef_4614-2025	PrimeRef_4614	Dunbar Brook
PrimeStrs-3779	MA	2025	PrimeStrs-3779	PrimeStrs-3779	PrimeStrs_3779-2025	PrimeStrs_3779	Mill River
PrimeRef-9677	MA	2025	PrimeRef-9677	PrimeRef-9677	PrimeRef_9677-2025	PrimeRef_9677	Rattlesnake Brook
PrimeRef-9677-QC	MA	2025	PrimeRef-9677	PrimeRef-9677-QC	PrimeRef_9677_QC-2025	PrimeRef_9677_QC	Rattlesnake Brook
OverStrs-8635	MA	2025	OverStrs-8635	OverStrs-8635	OverStrs_8635-2025	OverStrs_8635	Segreganset River
OverStrs-9519	MA	2025	OverStrs-9519	OverStrs-9519	OverStrs_9519-2025	OverStrs_9519	Wading River
PrimeStrs-6989	MA	2025	PrimeStrs-6989	PrimeStrs-6989	PrimeStrs_6989-2025	PrimeStrs_6989	Massapoag Brook
PrimeStrs-4305	MA	2025	PrimeStrs-4305	PrimeStrs-4305	PrimeStrs_4305-2025	PrimeStrs_4305	Cady Brook
PrimeStrs-8803	MA	2025	PrimeStrs-8803	PrimeStrs-8803	PrimeStrs_8803-2025	PrimeStrs_8803	West Branch Westfield River
PrimeRef-7271	MA	2025	PrimeRef-7271	PrimeRef-7271	PrimeRef_7271-2025	PrimeRef_7271	Sanderson Brook
PrimeStrs-8803-QC	MA	2025	PrimeStrs-8803	PrimeStrs-8803-QC	PrimeStrs_8803_QC-2025	PrimeStrs_8803_QC	West Branch Westfield River
PrimeStrs-1863	MA	2025	PrimeStrs-1863	PrimeStrs-1863	PrimeStrs_1863-2025	PrimeStrs_1863	North Branch Manhan River
PrimeStrs-97435	MA	2025	PrimeStrs-97435	PrimeStrs-97435	PrimeStrs_97435-2025	PrimeStrs_97435	Westfield River
